Manuelita Torrens Miranda,146851467,clemente93@yahoo.com
Sebastián Zurita Valls,063262699,eva-mariallano@cantero-colom.com
Toribio Tirado Arnal,002225389,jbarroso@gmail.com
Emperatriz Elías-Fuentes,362810573,trinidad29@vilaplana-toro.es
Manuel Blázquez Téllez,999086189,eugenia39@navarrete-hidalgo.es
Angelita de Barrio,664603676,rpavon@galan.es
Remedios del Soto,103003077,rosendaarregui@pinto-zamora.net
Sandalio Cuéllar Tirado,011985142,bpalacio@carbo.com
Guiomar Miguel Borrás,856608870,pperera@vara.com
Remedios Borrás-Merino,568438073,olegario28@puerta.net
Baldomero Mayoral Colom,887050345,albert67@pera-montalban.com
Modesta Roberta Feijoo Marco,731092407,ruben61@rosales.com
Nidia del Tenorio,066040112,quique22@gmail.com
Inés de Salazar,135654438,bgomez@hotmail.com
Plácido Antón Valera,988647628,ezequielperez@gmail.com
Eli Somoza Díaz,660344323,matiaslinares@hotmail.com
Juan José Barriga Saldaña,868153165,cterron@gmail.com
Maite Arellano,447593113,cornelio03@hotmail.com
Alex Checa Becerra,375675383,ugarteleire@gallardo.com
Ruben Pla Ferrández,070259942,dani38@leal.es
Jose Manuel Montserrat-Prada,734264340,verdugoroldan@carballo.com
Teobaldo Barberá-Solé,689545196,jose-ramon50@arana-ramirez.es
Modesta Salas Ricart,323312478,gonieli@arteaga-solsona.org
